Player,Comparison,Season,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Score,Year
Buddy Hield,Byron Scott,1985-86,6.7,13,0.513,0.3,0.8,0.361,6.4,12.2,0.523,0.524,1.8,2.3,0.784,0.7,1.8,2.5,2.2,1.1,0.2,1.4,2.2,15.4,54,1
Buddy Hield,Byron Scott,1986-87,6.8,13.8,0.489,0.8,1.8,0.436,6,12,0.496,0.517,2.7,3.1,0.892,0.8,2.7,3.5,3.4,1.5,0.2,1.8,2,17,54,2
Buddy Hield,Byron Scott,1987-88,8.8,16.6,0.527,0.8,2.2,0.346,8,14.4,0.554,0.55,3.4,3.9,0.858,0.9,3.2,4.1,4.1,1.9,0.3,2,2.5,21.7,54,3
Jamal Murray,Bradley Beal,2014-15,5.8,13.5,0.427,1.7,4.1,0.409,4.1,9.4,0.434,0.489,2.1,2.6,0.783,0.9,2.9,3.8,3.1,1.2,0.3,2,2.2,15.3,66,1
Jamal Murray,Bradley Beal,2015-16,6.5,14.5,0.449,1.9,4.9,0.387,4.6,9.6,0.481,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1,0.2,2,2.1,17.4,66,2
Jamal Murray,Bradley Beal,2016-17,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10,0.538,0.566,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2,2.2,23.1,66,3
Jamal Murray,JR Smith,2007-08,4.2,9.1,0.461,2.1,5.3,0.403,2.1,3.8,0.542,0.578,1.7,2.4,0.719,0.6,1.5,2.1,1.7,0.8,0.2,1.5,1.9,12.3,51,1
Jamal Murray,JR Smith,2008-09,5.2,11.7,0.446,2.2,5.6,0.397,3,6.1,0.491,0.541,2.5,3.4,0.754,0.5,3.1,3.7,2.8,1,0.2,1.9,2.3,15.2,51,2
Jamal Murray,JR Smith,2009-10,5.7,13.8,0.414,2.1,6.2,0.338,3.6,7.5,0.477,0.491,1.9,2.7,0.706,0.4,2.7,3.1,2.4,1.3,0.3,1.9,2.3,15.4,51,3
Jamal Murray,James Harden,2011-12,5,10.1,0.491,1.8,4.7,0.39,3.1,5.4,0.579,0.582,5,6,0.846,0.5,3.6,4.1,3.7,1,0.2,2.2,2.4,16.8,50,1
Jamal Murray,James Harden,2012-13,7.5,17.1,0.438,2.3,6.2,0.368,5.2,10.9,0.477,0.504,8.6,10.2,0.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9,50,2
Jamal Murray,James Harden,2013-14,7.5,16.5,0.456,2.4,6.6,0.366,5.1,9.9,0.515,0.529,7.9,9.1,0.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4,25.4,50,3
Jamal Murray,Brandon Knight,2013-14,6.4,15.2,0.422,1.5,4.7,0.325,4.9,10.5,0.466,0.473,3.6,4.5,0.802,0.6,2.9,3.5,4.9,1,0.2,2.6,2,17.9,50,1
Jamal Murray,Brandon Knight,2014-15,6,14.1,0.422,2,5.1,0.389,4,9,0.441,0.493,3.1,3.5,0.874,0.4,3.4,3.9,5.2,1.4,0.2,3,1.8,17,50,2
Jamal Murray,Brandon Knight,2015-16,7.1,17.2,0.415,2.3,6.8,0.342,4.8,10.5,0.461,0.482,3,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6,50,3
Jamal Murray,Dajuan Wagner,2004-05,1.6,5,0.327,0.5,2.4,0.192,1.2,2.6,0.448,0.373,0.3,0.4,0.75,0,0.2,0.2,1.2,0.5,0,0.8,1.4,4,49,1
Jamal Murray,Dajuan Wagner,2006-07,1,1,1,1,1,1,0,0,,1.5,1,2,0.5,0,0,0,1,0,0,1,1,4,49,2
Jamal Murray,Monta Ellis,2007-08,8,15.1,0.531,0.1,0.6,0.231,7.9,14.5,0.545,0.536,4,5.1,0.767,1.6,3.3,5,3.9,1.5,0.3,2.1,2.4,20.2,47,1
Jamal Murray,Monta Ellis,2008-09,7.8,17.2,0.451,0.3,1,0.308,7.4,16.2,0.46,0.46,3.1,3.8,0.83,0.6,3.8,4.3,3.7,1.6,0.3,2.7,2.7,19,47,2
Jamal Murray,Monta Ellis,2009-10,9.9,22,0.449,1.2,3.6,0.338,8.7,18.4,0.47,0.476,4.6,6.1,0.753,0.7,3.3,4,5.3,2.2,0.4,3.8,3,25.5,47,3
Jamal Murray,Luol Deng,2006-07,7.7,14.9,0.517,0,0.1,0.143,7.7,14.8,0.519,0.518,3.4,4.4,0.777,1.8,5.3,7.1,2.5,1.2,0.6,1.9,2,18.8,46,1
Jamal Murray,Luol Deng,2007-08,6.8,14.2,0.479,0.1,0.3,0.364,6.7,13.9,0.482,0.483,3.2,4.2,0.77,2.2,4.1,6.3,2.5,0.9,0.5,1.9,1.9,17,46,2
Jamal Murray,Luol Deng,2008-09,5.4,12.1,0.448,0.2,0.4,0.4,5.2,11.7,0.45,0.455,3.1,3.9,0.796,1.6,4.4,6,1.9,1.2,0.5,1.5,1.7,14.1,46,3
Jamal Murray,Martell Webster,2009-10,3.2,7.8,0.405,1.5,4,0.373,1.6,3.7,0.44,0.502,1.5,1.9,0.813,0.6,2.7,3.3,0.8,0.5,0.5,0.7,1.9,9.4,45,1
Jamal Murray,Martell Webster,2010-11,3.3,7.4,0.447,1.2,2.9,0.417,2.1,4.5,0.466,0.528,2,2.7,0.77,0.8,2.4,3.2,1.2,0.6,0.2,1.3,2.2,9.8,45,2
Jamal Murray,Martell Webster,2011-12,2.4,5.8,0.423,0.8,2.3,0.339,1.7,3.5,0.479,0.491,1.2,1.5,0.792,0.9,2.7,3.6,0.9,0.7,0.4,1,1.8,6.9,45,3
Marquese Chriss,Maurice Harkless,2014-15,1.4,3.5,0.399,0.2,1.2,0.179,1.2,2.3,0.52,0.43,0.5,0.9,0.537,0.8,1.5,2.4,0.6,0.7,0.2,0.6,1.5,3.5,60,1
Marquese Chriss,Maurice Harkless,2015-16,2.5,5.3,0.474,0.5,1.8,0.279,2,3.5,0.576,0.522,0.9,1.4,0.622,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,6.4,60,2
Marquese Chriss,Maurice Harkless,2016-17,4.1,8.1,0.503,0.9,2.5,0.351,3.2,5.6,0.572,0.558,1,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10,60,3
Marquese Chriss,Aaron Gordon,2016-17,4.9,10.8,0.454,1,3.3,0.288,4,7.5,0.528,0.499,2,2.7,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,56,1
Marquese Chriss,Al Harrington,2001-02,5.2,11,0.475,0,0.1,0.333,5.2,10.9,0.476,0.476,2.6,3.3,0.799,2.2,4.1,6.3,1.2,0.9,0.5,1.8,3.8,13.1,53,1
Marquese Chriss,Al Harrington,2002-03,4.7,10.9,0.434,0.2,0.6,0.283,4.6,10.4,0.442,0.441,2.6,3.3,0.77,1.9,4.3,6.2,1.5,0.9,0.4,2,3.4,12.2,53,2
Marquese Chriss,Al Harrington,2003-04,5.3,11.5,0.463,0.3,1,0.273,5.1,10.5,0.481,0.475,2.3,3.2,0.734,2.1,4.4,6.4,1.7,1,0.3,2.1,3.2,13.3,53,3
Marquese Chriss,Cliff Robinson,1981-82,7.6,16.8,0.453,0,0.1,0,7.6,16.8,0.455,0.453,3.3,4.6,0.709,2.6,6.4,9,1.8,1.3,1.5,2.2,3.3,18.5,52,1
Marquese Chriss,Cliff Robinson,1982-83,7.6,16,0.477,0,0.1,0,7.6,15.9,0.479,0.477,2.8,3.9,0.708,2.5,8.6,11.1,1.9,0.8,0.8,2.9,3.5,18,52,2
Marquese Chriss,Cliff Robinson,1983-84,7.3,16.2,0.45,0,0,0.5,7.3,16.2,0.45,0.45,3.2,4.6,0.701,2.1,8.2,10.3,2.5,0.7,0.4,2.6,2.7,17.8,52,3
Marquese Chriss,Giannis Antetokounmpo,2015-16,6.4,12.7,0.506,0.4,1.4,0.257,6.1,11.3,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,51,1
Marquese Chriss,Giannis Antetokounmpo,2016-17,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9,51,2
Marquese Chriss,Marvin Williams,2007-08,5.3,11.5,0.462,0,0.1,0.1,5.3,11.4,0.466,0.462,4.2,5.1,0.822,1.5,4.2,5.7,1.7,1,0.4,1.6,2.8,14.8,51,1
Marquese Chriss,Marvin Williams,2008-09,4.7,10.2,0.458,0.9,2.5,0.355,3.8,7.7,0.493,0.502,3.6,4.5,0.806,1.8,4.5,6.3,1.3,0.9,0.6,1.1,2.1,13.9,51,2
Marquese Chriss,Marvin Williams,2009-10,3.7,8.2,0.455,0.5,1.6,0.303,3.2,6.6,0.492,0.485,2.2,2.7,0.819,1.3,3.8,5.1,1.1,0.8,0.6,0.9,2,10.1,51,3
Marquese Chriss,Derrick Favors,2012-13,3.6,7.4,0.482,0,0.1,0,3.6,7.3,0.487,0.482,2.3,3.4,0.688,2.4,4.7,7.1,1,0.9,1.7,1.7,3.2,9.4,51,1
Marquese Chriss,Derrick Favors,2013-14,5.3,10.2,0.522,0,0,0,5.3,10.2,0.523,0.522,2.6,3.9,0.669,2.7,6,8.7,1.2,1,1.5,1.8,3.2,13.3,51,2
Marquese Chriss,Derrick Favors,2014-15,6.5,12.4,0.525,0,0.1,0.167,6.5,12.3,0.527,0.526,3,4.5,0.669,2.6,5.6,8.2,1.5,0.8,1.7,1.6,2.8,16,51,3
Marquese Chriss,Al Jefferson,2006-07,6.6,12.8,0.514,0,0,0,6.6,12.8,0.514,0.514,2.9,4.3,0.681,3.4,7.5,11,1.3,0.7,1.5,2,3.4,16,47,1
Marquese Chriss,Al Jefferson,2007-08,8.8,17.6,0.5,0,0.1,0,8.8,17.5,0.502,0.5,3.5,4.8,0.721,3.8,7.4,11.1,1.4,0.9,1.5,2,2.7,21,47,2
Marquese Chriss,Al Jefferson,2008-09,9.7,19.5,0.497,0,0.1,0,9.7,19.4,0.499,0.497,3.7,5,0.738,3.4,7.5,11,1.6,0.8,1.7,1.8,2.8,23.1,47,3
Marquese Chriss,Johan Petro,2007-08,2.6,6.1,0.419,0,0,0,2.6,6.1,0.42,0.419,0.9,1.2,0.736,1.4,3.8,5.1,0.4,0.5,0.6,1,2.4,6,46,1
Marquese Chriss,Johan Petro,2008-09,1.5,3.6,0.415,0,0,0,1.5,3.6,0.42,0.415,0.3,0.6,0.552,0.9,2.4,3.2,0.3,0.4,0.3,0.6,2.2,3.3,46,2
Marquese Chriss,Johan Petro,2009-10,1.5,2.8,0.535,0,0,0,1.5,2.8,0.54,0.535,0.4,0.6,0.667,0.9,2.7,3.6,0.4,0.3,0.4,0.6,2.2,3.4,46,3
