Player,Comparison,Season,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Score,Year
Thon Maker,Serge Ibaka,2012-13,5.6,9.7,0.573,0.3,0.7,0.351,5.3,9,0.591,0.586,1.8,2.4,0.749,2.8,4.9,7.7,0.5,0.4,3,1.6,2.7,13.2,39,2
Thon Maker,Serge Ibaka,2013-14,6.5,12.1,0.536,0.3,0.7,0.383,6.2,11.3,0.546,0.548,1.9,2.5,0.784,2.8,6,8.8,1,0.5,2.7,1.5,2.9,15.1,39,3
Malcolm Brogdon,Steve Nash,1999-00,3.1,6.5,0.477,1.1,2.7,0.403,2,3.8,0.528,0.559,1.3,1.5,0.882,0.6,1.6,2.2,4.9,0.7,0.1,1.8,2.2,8.6,65,1
Malcolm Brogdon,Steve Nash,2000-01,5.5,11.3,0.487,1.3,3.1,0.406,4.2,8.2,0.518,0.544,3.3,3.7,0.895,0.7,2.5,3.2,7.3,1,0.1,2.9,2.3,15.6,65,2
Malcolm Brogdon,Steve Nash,2001-02,6.4,13.3,0.483,1.9,4.2,0.455,4.5,9.1,0.495,0.554,3.2,3.6,0.887,0.6,2.5,3.1,7.7,0.6,0,2.8,2,17.9,65,3
Malcolm Brogdon,Reggie Jackson,2015-16,6.8,15.7,0.434,1.5,4.2,0.353,5.3,11.5,0.464,0.482,3.7,4.3,0.864,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,18.8,61,1
Malcolm Brogdon,Reggie Jackson,2016-17,5.5,13,0.419,1.3,3.5,0.359,4.2,9.5,0.442,0.468,2.3,2.6,0.868,0.4,1.8,2.2,5.2,0.7,0.1,2.2,2.5,14.5,61,2
Malcolm Brogdon,Ricky Sobers,1978-79,6.8,14.7,0.463,0,0,0,6.8,14.7,0.463,0.463,3.7,4.2,0.882,1.5,2.3,3.7,5.6,1.7,0.3,3.8,3.9,17.3,61,1
Malcolm Brogdon,Ricky Sobers,1979-80,5.7,12.2,0.469,0.3,0.8,0.309,5.5,11.4,0.481,0.48,2.4,2.9,0.837,0.9,2,3,5.2,1.7,0.2,3.4,3.6,14.2,61,2
Malcolm Brogdon,Ricky Sobers,1980-81,5,10.8,0.462,0.2,0.9,0.258,4.8,9.9,0.481,0.473,3.3,3.5,0.935,0.6,1.4,2,4,1.4,0.2,2.9,3.2,13.5,61,3
Malcolm Brogdon,Michael Cooper,1981-82,5,9.8,0.517,0,0.2,0.118,5,9.5,0.526,0.518,1.8,2.3,0.813,1.1,2.4,3.5,3,1.6,0.8,2,2.8,11.9,58,1
Malcolm Brogdon,Michael Cooper,1982-83,3.2,6.1,0.535,0.1,0.3,0.238,3.2,5.8,0.548,0.54,1.2,1.6,0.785,1,2.3,3.3,3.8,1.4,0.6,1.6,2.5,7.8,58,2
Malcolm Brogdon,Michael Cooper,1983-84,3.3,6.7,0.497,0.5,1.5,0.314,2.9,5.2,0.549,0.532,1.9,2.3,0.838,0.6,2.5,3.2,5.9,1.4,0.8,1.8,3.3,9,58,3
Malcolm Brogdon,Kyle Macy,1982-83,4,7.7,0.517,0.3,0.9,0.303,3.7,6.8,0.547,0.535,1.6,1.8,0.872,0.5,1.5,2,3.4,0.8,0.1,1.1,1.6,9.9,57,
Malcolm Brogdon,Kyle Macy,1983-84,4.4,8.7,0.501,0.3,0.9,0.329,4.1,7.8,0.519,0.517,1.2,1.4,0.833,0.6,1.7,2.3,4.3,1.5,0.1,1.4,2.2,10.1,57,2
Malcolm Brogdon,Kyle Macy,1984-85,4.3,9,0.485,0.4,1.3,0.271,4,7.6,0.521,0.504,2,2.2,0.907,0.5,2.2,2.8,5.8,1.3,0,1.7,2,11,57,3
Malcolm Brogdon,Danny Ainge,1984-85,5.6,10.6,0.529,0.2,0.7,0.268,5.4,9.8,0.549,0.539,1.6,1.8,0.868,1,2.6,3.6,5.3,1.6,0.1,2,3,12.9,57,1
Malcolm Brogdon,Danny Ainge,1985-86,4.4,8.8,0.504,0.3,0.9,0.356,4.1,7.9,0.521,0.522,1.5,1.7,0.904,0.6,2.4,2.9,5.1,1.2,0.1,1.6,2.6,10.7,57,2
Malcolm Brogdon,Danny Ainge,1986-87,5.8,11.9,0.486,1.2,2.7,0.443,4.6,9.2,0.498,0.536,2.1,2.3,0.897,0.7,2.7,3.4,5.6,1.4,0.2,2,2.7,14.8,57,3
Malcolm Brogdon,Hubert Davis,1995-96,3.7,7.6,0.486,1.7,3.6,0.476,2,4,0.495,0.598,1.5,1.7,0.868,0.5,1.2,1.7,1.4,0.4,0.1,0.9,1.6,10.7,57,1
Malcolm Brogdon,Hubert Davis,1996-97,2.1,5.1,0.402,0.4,1.9,0.229,1.6,3.2,0.509,0.446,0.5,0.6,0.739,0.3,0.8,1.1,0.9,0.3,0.1,0.6,1.1,5,57,2
Malcolm Brogdon,Hubert Davis,1997-98,4.3,9.5,0.456,1.2,2.8,0.439,3.1,6.6,0.464,0.522,1.2,1.4,0.836,0.4,1.7,2.1,1.9,0.5,0.1,1.1,1.4,11.1,57,3
Malcolm Brogdon,Otis Smith,1989-90,5.4,10.9,0.492,0.2,0.6,0.25,5.2,10.3,0.506,0.499,2.6,3.4,0.761,1.8,2.8,4.6,2.3,1.2,0.9,1.6,2.7,13.5,54,1
Malcolm Brogdon,Otis Smith,1990-91,5.4,12,0.451,0.1,0.6,0.196,5.3,11.4,0.465,0.456,2.9,4,0.734,2.3,2.8,5.2,2.3,1.1,0.5,1.9,2.5,13.9,54,2
Malcolm Brogdon,Otis Smith,1991-92,2.1,5.8,0.365,0.1,0.4,0.381,2,5.4,0.364,0.377,1.3,1.7,0.769,0.7,1.4,2.1,1,0.7,0.2,1.1,1.5,5.6,54,3
Malcolm Brogdon,Paul Graham,1993-94,1,2.7,0.368,0.1,0.6,0.231,0.9,2.1,0.409,0.395,0.6,0.8,0.765,0.2,0.4,0.6,0.6,0.2,0.2,0.2,0.5,2.8,54,1
Karl-Anthony Towns,Anthony Davis,2015-16,9.2,18.6,0.493,0.6,1.8,0.324,8.6,16.9,0.511,0.508,5.3,7,0.758,2.1,8.1,10.3,1.9,1.3,2,2,2.4,24.3,39,1
Karl-Anthony Towns,Anthony Davis,2016-17,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28,39,2
Karl-Anthony Towns,Greg Monroe,2013-14,6.1,12.4,0.497,0,0,0,6.1,12.4,0.497,0.497,2.9,4.5,0.657,3.1,6.1,9.3,2.1,1.1,0.6,2,2.5,15.2,35,1
Karl-Anthony Towns,Greg Monroe,2014-15,6.1,12.4,0.496,0,0,0,6.1,12.4,0.496,0.496,3.7,4.9,0.75,3.3,6.9,10.2,2.1,1.1,0.5,2.2,2.1,15.9,35,2
Karl-Anthony Towns,Greg Monroe,2015-16,6.2,11.9,0.522,0,0,0,6.2,11.9,0.522,0.522,2.9,3.9,0.74,2.8,6.1,8.8,2.3,0.9,0.8,1.6,2.1,15.3,35,3
Karl-Anthony Towns,Shareef Abdur-Rahim,1999-00,7.2,15.6,0.465,0.4,1.2,0.302,6.9,14.4,0.478,0.477,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,1.1,3,3,20.3,32,1
Karl-Anthony Towns,Shareef Abdur-Rahim,2000-01,7.5,15.8,0.472,0.1,0.8,0.188,7.3,15,0.487,0.477,5.5,6.6,0.834,2.2,6.9,9.1,3.1,1.1,1,2.9,2.9,20.5,32,2
Karl-Anthony Towns,Shareef Abdur-Rahim,2001-02,7.8,16.8,0.461,0.3,0.9,0.3,7.5,15.9,0.47,0.469,5.4,6.8,0.801,2.6,6.5,9,3.1,1.3,1.1,3.2,2.8,21.2,32,3
Karl-Anthony Towns,Kevin Love,2011-12,8.6,19.3,0.448,1.9,5.1,0.372,6.7,14.1,0.475,0.497,6.9,8.4,0.824,4.1,9.2,13.3,2,0.9,0.5,2.3,2.8,26,29,1
Karl-Anthony Towns,Kevin Love,2012-13,5.8,16.6,0.352,1.1,5.1,0.217,4.7,11.4,0.413,0.386,5.6,7.9,0.704,3.6,10.4,14,2.3,0.7,0.5,2.2,1.9,18.3,29,2
Karl-Anthony Towns,Kevin Love,2013-14,8.4,18.5,0.457,2.5,6.6,0.376,6,11.9,0.502,0.524,6.8,8.2,0.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1,29,3
Karl-Anthony Towns,Chris Bosh,2006-07,7.9,15.9,0.496,0.2,0.5,0.343,7.7,15.3,0.501,0.502,6.7,8.6,0.785,2.7,8,10.7,2.5,0.6,1.3,2.6,2.4,22.6,28,1
Karl-Anthony Towns,Chris Bosh,2007-08,7.6,15.3,0.494,0.1,0.4,0.4,7.4,15,0.496,0.499,7,8.3,0.844,2.6,6.1,8.7,2.6,0.9,1,2.3,2.3,22.3,28,2
Karl-Anthony Towns,Chris Bosh,2008-09,8,16.4,0.487,0.2,0.6,0.245,7.8,15.8,0.497,0.492,6.5,8,0.817,2.8,7.2,10,2.5,0.9,1,2.3,2.5,22.7,28,3
Karl-Anthony Towns,Joe Smith,1998-99,5.2,12.1,0.427,0,0.1,0,5.2,12.1,0.43,0.427,3.3,4.4,0.755,3.6,4.7,8.2,1.6,0.7,1.5,1.5,3.4,13.7,28,1
Karl-Anthony Towns,Joe Smith,1999-00,3.7,8,0.464,0,0,1,3.7,8,0.463,0.465,2.5,3.3,0.756,2.4,3.8,6.2,1.1,0.6,1.1,1.5,3.9,9.9,28,2
Karl-Anthony Towns,Joe Smith,2000-01,4.5,11.1,0.403,0,0.1,0,4.5,11,0.405,0.403,3.3,4.2,0.805,2.3,4.8,7.1,1.1,0.7,0.7,1.3,3.7,12.3,28,3
Karl-Anthony Towns,Pau Gasol,2003-04,6.5,13.4,0.482,0.1,0.2,0.267,6.4,13.3,0.485,0.484,4.7,6.6,0.714,2.6,5.1,7.7,2.5,0.6,1.7,2.4,2.4,17.7,26,1
Karl-Anthony Towns,Pau Gasol,2004-05,6.4,12.4,0.514,0,0.1,0.167,6.4,12.3,0.517,0.514,5,6.6,0.768,2.3,5,7.3,2.4,0.7,1.7,2.4,2.6,17.8,27,2
Karl-Anthony Towns,Pau Gasol,2005-06,7.5,14.9,0.503,0,0.2,0.25,7.5,14.8,0.505,0.504,5.3,7.7,0.689,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3,20.4,27,3
Karl-Anthony Towns,Amar'e Stoudemire,2005-06,3,9,0.333,0,0.3,0,3,8.7,0.346,0.333,2.7,3,0.889,2,3.3,5.3,0.7,0.3,1,0.3,1.3,8.7,24,1
Karl-Anthony Towns,Amar'e Stoudemire,2006-07,7.4,12.9,0.575,0,0,0,7.4,12.8,0.577,0.575,5.6,7.1,0.781,2.7,6.9,9.6,1,1,1.3,2.8,3.6,20.4,24,2
Karl-Anthony Towns,Amar'e Stoudemire,2007-08,9,15.3,0.59,0.1,0.4,0.161,9,14.9,0.601,0.592,7,8.7,0.805,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7,25.2,24,3
Karl-Anthony Towns,Lamar Odom,2002-03,5.5,12.5,0.439,0.9,2.6,0.326,4.6,9.8,0.469,0.473,2.8,3.6,0.777,1.2,5.4,6.7,3.6,0.9,0.8,2.9,3.7,14.6,21,1
Karl-Anthony Towns,Lamar Odom,2003-04,6.1,14.1,0.43,0.8,2.6,0.298,5.3,11.5,0.46,0.457,4.3,5.7,0.742,2,7.7,9.7,4.1,1.1,0.9,3,3.4,17.1,21,2
Karl-Anthony Towns,Lamar Odom,2004-05,5.7,12.1,0.473,0.6,1.8,0.308,5.2,10.3,0.502,0.496,3.2,4.7,0.695,2.1,8.1,10.2,3.7,0.7,1,2.5,3.3,15.2,21,3
Karl-Anthony Towns,Elton Brand,2001-02,6.7,12.6,0.527,0,0,0,6.7,12.6,0.527,0.527,4.9,6.6,0.742,5,6.6,11.6,2.4,1,2,2.2,3.2,18.2,20,1
Karl-Anthony Towns,Elton Brand,2002-03,7.3,14.5,0.502,0,0,0,7.3,14.5,0.502,0.502,3.9,5.7,0.685,4.6,6.8,11.3,2.5,1.1,2.5,2.6,3.3,18.5,20,2
Karl-Anthony Towns,Elton Brand,2003-04,7,14.2,0.493,0,0,0,7,14.2,0.493,0.493,6,7.7,0.773,3.9,6.4,10.3,3.3,0.9,2.2,2.8,3.3,20,20,3
D'Angelo Russell,Brandon Knight,2014-15,6,14.1,0.422,2,5.1,0.389,4,9,0.441,0.493,3.1,3.5,0.874,0.4,3.4,3.9,5.2,1.4,0.2,3,1.8,17,57,1
D'Angelo Russell,Brandon Knight,2015-16,7.1,17.2,0.415,2.3,6.8,0.342,4.8,10.5,0.461,0.482,3,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6,57,2
D'Angelo Russell,Brandon Knight,2016-17,3.9,9.7,0.398,0.8,2.6,0.324,3,7.1,0.425,0.441,2.4,2.9,0.857,0.5,1.7,2.2,2.4,0.5,0.1,1.6,1.6,11,57,3
D'Angelo Russell,Tyreke Evans,2012-13,5.6,11.8,0.478,0.7,2,0.338,4.9,9.7,0.508,0.508,3.2,4.2,0.775,0.9,3.6,4.4,3.5,1.4,0.4,2,2,15.2,53,1
D'Angelo Russell,Tyreke Evans,2013-14,5.4,12.5,0.436,0.3,1.3,0.221,5.1,11.1,0.461,0.448,3.3,4.3,0.771,1.1,3.7,4.7,5,1.2,0.3,2.4,2.2,14.5,53,2
D'Angelo Russell,Tyreke Evans,2014-15,6.6,14.7,0.447,0.9,2.9,0.304,5.7,11.9,0.482,0.477,2.6,3.7,0.694,1,4.2,5.3,6.6,1.3,0.5,3.1,2.5,16.6,53,3
D'Angelo Russell,Brandon Jennings,2012-13,6.2,15.6,0.399,2.2,5.8,0.375,4.1,9.8,0.412,0.468,2.9,3.5,0.819,0.7,2.3,3.1,6.5,1.6,0.1,2.5,1.9,17.5,51,1
D'Angelo Russell,Brandon Jennings,2013-14,5.3,14.2,0.373,1.9,5.7,0.337,3.4,8.5,0.397,0.441,3,4,0.751,0.7,2.3,3.1,7.6,1.3,0.1,2.7,2,15.5,51,2
D'Angelo Russell,Brandon Jennings,2014-15,5.3,13.2,0.401,1.9,5.1,0.36,3.5,8.1,0.428,0.471,2.9,3.5,0.839,0.5,2,2.5,6.6,1.1,0.1,2.2,1.6,15.4,51,3
D'Angelo Russell,Bradley Beal,2015-16,6.5,14.5,0.449,1.9,4.9,0.387,4.6,9.6,0.481,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1,0.2,2,2.1,17.4,51,1
D'Angelo Russell,Bradley Beal,2016-17,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10,0.538,0.566,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2,2.2,23.1,51,2
D'Angelo Russell,Larry Hughes,2001-02,4.7,11.1,0.423,0.2,1.3,0.194,4.5,9.8,0.453,0.435,2.6,3.5,0.737,1.1,2.2,3.4,4.3,1.5,0.3,2.3,2.1,12.3,47,1
D'Angelo Russell,Larry Hughes,2002-03,5.2,11.1,0.467,0.4,1.2,0.367,4.7,9.9,0.479,0.487,2,2.8,0.731,1,3.6,4.6,3.1,1.3,0.4,2,2.2,12.8,47,2
D'Angelo Russell,Larry Hughes,2003-04,6.6,16.5,0.397,1.3,3.8,0.341,5.3,12.7,0.414,0.437,4.4,5.5,0.797,1.6,3.8,5.3,2.4,1.6,0.4,2.5,2.4,18.8,47,3
D'Angelo Russell,Kyrie Irving,2014-15,7.7,16.5,0.468,2.1,5,0.415,5.6,11.4,0.491,0.532,4.2,4.9,0.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7,47,1
D'Angelo Russell,Kyrie Irving,2015-16,7.4,16.6,0.448,1.6,4.9,0.321,5.8,11.6,0.502,0.496,3.2,3.6,0.885,0.8,2.1,3,4.7,1.1,0.3,2.3,2,19.6,47,2
D'Angelo Russell,Kyrie Irving,2016-17,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,0.535,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,47,3
D'Angelo Russell,Mike Conley,2010-11,5.2,11.8,0.444,1,2.7,0.369,4.2,9.1,0.466,0.486,2.2,3,0.733,0.4,2.7,3,6.5,1.8,0.2,2.2,2.2,13.7,45,1
D'Angelo Russell,Mike Conley,2011-12,4.8,11,0.433,1,2.6,0.377,3.8,8.5,0.45,0.477,2.2,2.5,0.861,0.4,2.2,2.5,6.5,2.2,0.2,2,2.1,12.7,45,2
D'Angelo Russell,Mike Conley,2012-13,5.2,11.8,0.44,1.3,3.7,0.362,3.9,8.1,0.476,0.497,2.9,3.5,0.83,0.5,2.3,2.8,6.1,2.2,0.3,2.4,2.1,14.6,45,3
D'Angelo Russell,Dion Waiters,2014-15,4.7,11.8,0.396,0.9,3.1,0.297,3.8,8.8,0.431,0.435,1.5,2.2,0.68,0.5,1.9,2.4,2,1.1,0.3,1.4,1.9,11.8,44,1
D'Angelo Russell,Dion Waiters,2015-16,3.6,9.1,0.399,1.1,3.1,0.358,2.5,6,0.421,0.46,1.4,2,0.713,0.5,2.1,2.6,2,1,0.2,1.5,1.8,9.8,44,2
D'Angelo Russell,Dion Waiters,2016-17,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.438,0.488,1.8,2.8,0.646,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,44,3
D'Angelo Russell,Sebastian Telfair,2007-08,3.7,9.3,0.401,0.5,1.9,0.281,3.2,7.4,0.432,0.43,1.3,1.8,0.743,0.3,2,2.3,5.9,1,0.2,1.9,2.9,9.3,43,1
D'Angelo Russell,Sebastian Telfair,2008-09,3.6,9.3,0.383,1,2.8,0.346,2.6,6.5,0.399,0.435,1.7,2.1,0.819,0.4,1.3,1.7,4.6,1,0.2,1.9,2.5,9.8,43,2
D'Angelo Russell,Sebastian Telfair,2009-10,1.9,4.7,0.413,0.3,1.3,0.232,1.6,3.4,0.483,0.445,0.7,0.9,0.784,0.1,0.9,1,2.9,0.6,0.1,1.2,1.7,4.8,43,3
Kristaps Porzingis,Brook Lopez,2011-12,7.6,15.4,0.494,0,0,0,7.6,15.4,0.494,0.494,4,6.4,0.625,1.6,2,3.6,1.2,0.2,0.8,1.2,1.6,19.2,49,1
Kristaps Porzingis,Brook Lopez,2012-13,7.7,14.8,0.521,0,0,0,7.7,14.8,0.522,0.521,4,5.3,0.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1,19.4,49,2
Kristaps Porzingis,Brook Lopez,2013-14,7.6,13.5,0.563,0,0.1,0,7.6,13.4,0.566,0.563,5.5,6.8,0.817,2.3,3.7,6,0.9,0.5,1.8,1.6,3.1,20.7,49,3
Kristaps Porzingis,Dirk Nowitzki,2001-02,7.9,16.6,0.477,1.8,4.6,0.397,6.1,11.9,0.508,0.532,5.8,6.8,0.853,1.6,8.4,9.9,2.4,1.1,1,1.9,2.9,23.4,43,1
Kristaps Porzingis,Dirk Nowitzki,2002-03,8.6,18.6,0.463,1.9,4.9,0.379,6.8,13.7,0.493,0.513,6,6.9,0.881,1,8.9,9.9,3,1.4,1,1.9,2.6,25.1,43,2
Kristaps Porzingis,Dirk Nowitzki,2003-04,7.9,17,0.462,1.3,3.8,0.341,6.6,13.2,0.496,0.5,4.8,5.5,0.877,1.2,7.5,8.7,2.7,1.2,1.4,1.8,2.8,21.8,43,3
Kristaps Porzingis,Amar'e Stoudemire,2005-06,3,9,0.333,0,0.3,0,3,8.7,0.346,0.333,2.7,3,0.889,2,3.3,5.3,0.7,0.3,1,0.3,1.3,8.7,41,1
Kristaps Porzingis,Amar'e Stoudemire,2006-07,7.4,12.9,0.575,0,0,0,7.4,12.8,0.577,0.575,5.6,7.1,0.781,2.7,6.9,9.6,1,1,1.3,2.8,3.6,20.4,41,2
Kristaps Porzingis,Amar'e Stoudemire,2007-08,9,15.3,0.59,0.1,0.4,0.161,9,14.9,0.601,0.592,7,8.7,0.805,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7,25.2,41,3
Kristaps Porzingis,Spencer Hawes,2011-12,4.2,8.6,0.489,0.1,0.3,0.25,4.1,8.3,0.498,0.494,1.1,1.5,0.727,2.1,5.2,7.3,2.6,0.4,1.3,1.5,2.7,9.6,39,1
Kristaps Porzingis,Spencer Hawes,2012-13,4.6,9.9,0.464,0.4,1.1,0.356,4.2,8.8,0.477,0.483,1.5,1.9,0.777,2.1,5.1,7.2,2.2,0.3,1.4,1.6,2.8,11,39,2
Kristaps Porzingis,Spencer Hawes,2013-14,5,11,0.456,1.6,3.9,0.416,3.4,7.2,0.478,0.529,1.5,1.9,0.783,1.6,6.6,8.3,3,0.6,1.2,2.2,3,13.2,39,3
Kristaps Porzingis,Pau Gasol,2003-04,6.5,13.4,0.482,0.1,0.2,0.267,6.4,13.3,0.485,0.484,4.7,6.6,0.714,2.6,5.1,7.7,2.5,0.6,1.7,2.4,2.4,17.7,37,1
Kristaps Porzingis,Pau Gasol,2004-05,6.4,12.4,0.514,0,0.1,0.167,6.4,12.3,0.517,0.514,5,6.6,0.768,2.3,5,7.3,2.4,0.7,1.7,2.4,2.6,17.8,37,2
Kristaps Porzingis,Pau Gasol,2005-06,7.5,14.9,0.503,0,0.2,0.25,7.5,14.8,0.505,0.504,5.3,7.7,0.689,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3,20.4,37,3
Kristaps Porzingis,Joe Smith,1998-99,5.2,12.1,0.427,0,0.1,0,5.2,12.1,0.43,0.427,3.3,4.4,0.755,3.6,4.7,8.2,1.6,0.7,1.5,1.5,3.4,13.7,37,1
Kristaps Porzingis,Joe Smith,1999-00,3.7,8,0.464,0,0,1,3.7,8,0.463,0.465,2.5,3.3,0.756,2.4,3.8,6.2,1.1,0.6,1.1,1.5,3.9,9.9,37,2
Kristaps Porzingis,Joe Smith,2000-01,4.5,11.1,0.403,0,0.1,0,4.5,11,0.405,0.403,3.3,4.2,0.805,2.3,4.8,7.1,1.1,0.7,0.7,1.3,3.7,12.3,37,3
Kristaps Porzingis,Shawn Kemp,1992-93,6.6,13.4,0.492,0,0.1,0,6.6,13.4,0.494,0.492,4.6,6.4,0.712,3.7,7,10.7,2,1.5,1.9,2.8,4.2,17.8,37,1
Kristaps Porzingis,Shawn Kemp,1993-94,6.7,12.5,0.538,0,0.1,0.25,6.7,12.5,0.54,0.539,4.6,6.2,0.741,3.9,6.8,10.8,2.6,1.8,2.1,3.3,3.9,18.1,37,2
Kristaps Porzingis,Shawn Kemp,1994-95,6.6,12.2,0.547,0,0.1,0.286,6.6,12.1,0.548,0.548,5.3,7.1,0.749,3.9,7,10.9,1.8,1.2,1.5,3.2,4.1,18.7,37,3
Kristaps Porzingis,Charlie Villanueva,2007-08,4.7,10.7,0.435,0.7,2.4,0.297,3.9,8.3,0.475,0.469,1.6,2.1,0.783,1.9,4.2,6.1,1,0.4,0.5,1.4,2.3,11.7,36,1
Kristaps Porzingis,Charlie Villanueva,2008-09,6.2,14,0.447,1.1,3.3,0.345,5.1,10.7,0.479,0.488,2.6,3.1,0.838,2,4.7,6.7,1.8,0.6,0.7,1.8,3.3,16.2,36,2
Kristaps Porzingis,Charlie Villanueva,2009-10,4.7,10.6,0.439,1.3,3.6,0.351,3.4,7,0.484,0.499,1.4,1.7,0.815,1.1,3.6,4.7,0.7,0.6,0.7,0.9,2.9,11.9,36,3
Kristaps Porzingis,Benoit Benjamin,1987-88,5.2,10.5,0.491,0,0.1,0,5.2,10.4,0.496,0.491,2.7,3.9,0.706,1.7,6.3,8,2.6,0.8,3.4,3.4,3.1,13,36,1
Kristaps Porzingis,Benoit Benjamin,1988-89,6.2,11.5,0.541,0,0,0,6.2,11.5,0.543,0.541,4,5.4,0.744,2.1,6.7,8.8,2,0.7,2.8,3,2.8,16.4,36,2
Kristaps Porzingis,Benoit Benjamin,1989-90,5.1,9.7,0.526,0,0,0,5.1,9.7,0.527,0.526,3.3,4.5,0.732,2.2,7.1,9.3,2.2,0.8,2.6,2.6,3.1,13.5,36,3
Kristaps Porzingis,Rudy Gay,2009-10,7.5,16.1,0.466,0.8,2.5,0.327,6.7,13.6,0.492,0.491,3.8,5,0.753,1.4,4.5,5.9,1.9,1.5,0.8,2.1,2.5,19.6,36,1
Kristaps Porzingis,Rudy Gay,2010-11,7.6,16.1,0.471,1.1,2.7,0.396,6.5,13.4,0.486,0.503,3.6,4.5,0.805,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4,19.8,36,2
Kristaps Porzingis,Rudy Gay,2011-12,7.5,16.4,0.455,0.8,2.7,0.312,6.6,13.8,0.482,0.48,3.2,4,0.791,2,4.4,6.4,2.3,1.5,0.8,2.5,2.1,19,36,3
Emmanuel Mudiay,Brandon Knight,2014-15,6,14.1,0.422,2,5.1,0.389,4,9,0.441,0.493,3.1,3.5,0.874,0.4,3.4,3.9,5.2,1.4,0.2,3,1.8,17,54,1
Emmanuel Mudiay,Brandon Knight,2015-16,7.1,17.2,0.415,2.3,6.8,0.342,4.8,10.5,0.461,0.482,3,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6,54,2
Emmanuel Mudiay,Brandon Knight,2016-17,3.9,9.7,0.398,0.8,2.6,0.324,3,7.1,0.425,0.441,2.4,2.9,0.857,0.5,1.7,2.2,2.4,0.5,0.1,1.6,1.6,11,54,3
Emmanuel Mudiay,Sebastian Telfair,2007-08,3.7,9.3,0.401,0.5,1.9,0.281,3.2,7.4,0.432,0.43,1.3,1.8,0.743,0.3,2,2.3,5.9,1,0.2,1.9,2.9,9.3,54,1
Emmanuel Mudiay,Sebastian Telfair,2008-09,3.6,9.3,0.383,1,2.8,0.346,2.6,6.5,0.399,0.435,1.7,2.1,0.819,0.4,1.3,1.7,4.6,1,0.2,1.9,2.5,9.8,54,2
Emmanuel Mudiay,Sebastian Telfair,2009-10,1.9,4.7,0.413,0.3,1.3,0.232,1.6,3.4,0.483,0.445,0.7,0.9,0.784,0.1,0.9,1,2.9,0.6,0.1,1.2,1.7,4.8,54,3
Emmanuel Mudiay,Johnny Davis,1978-79,7.2,15.7,0.456,0,0,0,7.2,15.7,0.456,0.456,4,5,0.793,0.9,1.5,2.4,5.7,1.2,0.3,2.7,2.2,18.3,50,1
Emmanuel Mudiay,Johnny Davis,1979-80,6,14.1,0.428,0,0.5,0.095,6,13.6,0.44,0.43,3.7,4.3,0.864,1.2,1.5,2.8,5.4,1.3,0.3,2.5,2.2,15.9,50,2
Emmanuel Mudiay,Johnny Davis,1980-81,5.6,12.1,0.465,0.1,0.4,0.121,5.6,11.6,0.477,0.467,3.1,3.9,0.796,0.7,1.5,2.2,6.3,1.3,0.2,2.2,2.4,14.4,50,3
Emmanuel Mudiay,Dion Waiters,2014-15,4.7,11.8,0.396,0.9,3.1,0.297,3.8,8.8,0.431,0.435,1.5,2.2,0.68,0.5,1.9,2.4,2,1.1,0.3,1.4,1.9,11.8,48,1
Emmanuel Mudiay,Dion Waiters,2015-16,3.6,9.1,0.399,1.1,3.1,0.358,2.5,6,0.421,0.46,1.4,2,0.713,0.5,2.1,2.6,2,1,0.2,1.5,1.8,9.8,48,2
Emmanuel Mudiay,Dion Waiters,2016-17,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.438,0.488,1.8,2.8,0.646,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,48,3
