2.11,5.63,0.37,0.27,1.87,0.15,1.83,4.76,0.38,0.40,0.90,2.37,0.38,1.24,2.39,3.62,0.63,0.39,0.68,0.69,1.67,5.36
3.66,8.90,0.41,0.05,1.28,0.04,3.58,8.66,0.41,0.41,1.94,4.13,0.47,2.20,4.77,6.96,1.14,0.64,1.85,1.62,2.70,9.26
4.76,10.66,0.45,0.04,1.24,0.04,4.69,10.43,0.45,0.45,2.38,4.61,0.52,1.98,5.09,7.06,1.18,0.73,1.60,1.58,2.70,11.90
2.93,7.61,0.39,0.47,2.31,0.20,2.47,6.29,0.39,0.42,1.25,2.65,0.47,0.86,2.27,3.13,2.25,0.93,0.29,1.31,2.03,7.60
2.82,7.63,0.37,0.47,2.39,0.20,2.35,6.24,0.38,0.40,1.13,2.57,0.44,0.71,2.26,2.97,2.17,0.83,0.24,1.22,1.97,7.23
3.13,8.04,0.39,0.50,2.58,0.20,2.62,6.47,0.40,0.42,1.29,2.62,0.49,0.76,2.40,3.15,2.63,1.05,0.34,1.36,1.98,8.03
5.53,12.68,0.44,0.85,3.35,0.25,4.67,10.33,0.45,0.47,2.29,3.80,0.60,0.97,2.19,3.16,2.25,0.82,0.31,1.54,2.07,14.20
5.06,11.91,0.43,0.92,3.45,0.27,4.16,9.47,0.44,0.46,2.00,3.42,0.58,0.76,1.99,2.76,2.30,0.86,0.19,1.48,1.88,13.08
5.52,13.20,0.42,0.88,3.65,0.24,4.62,10.56,0.44,0.45,2.40,3.81,0.63,0.78,2.29,3.06,2.69,0.96,0.25,1.71,1.93,14.28
5.25,12.41,0.42,1.19,4.32,0.28,4.04,9.08,0.45,0.47,2.68,4.38,0.61,0.82,2.78,3.60,2.76,0.97,0.28,1.75,2.03,14.34
6.19,14.83,0.42,1.48,4.85,0.31,4.70,10.98,0.43,0.47,3.55,5.40,0.66,0.84,3.34,4.18,3.46,1.18,0.29,2.37,2.18,17.38
6.73,16.14,0.42,1.79,5.94,0.30,4.96,11.21,0.44,0.47,3.66,5.48,0.67,0.81,3.18,4.00,3.63,1.32,0.38,2.45,2.26,18.94
4.80,11.20,0.43,0.19,1.75,0.11,4.63,10.47,0.44,0.44,2.46,4.36,0.56,1.88,4.58,6.46,1.58,0.89,0.90,1.60,2.84,12.29
5.37,12.10,0.44,0.28,1.96,0.15,5.09,11.16,0.46,0.46,2.76,4.74,0.58,2.07,5.26,7.33,1.74,0.89,0.91,1.76,2.71,13.80
5.42,12.20,0.44,0.27,1.82,0.15,5.17,11.39,0.45,0.46,2.24,4.15,0.54,1.99,4.95,6.95,1.42,0.80,0.85,1.53,2.65,13.37
2.89,6.63,0.44,0.02,1.10,0.02,2.87,6.54,0.44,0.44,1.27,3.03,0.42,1.83,3.31,5.14,0.68,0.59,1.01,1.08,2.44,7.06
2.87,6.49,0.44,0.04,1.12,0.04,2.83,6.36,0.45,0.45,1.68,3.52,0.48,1.71,3.17,4.88,0.78,0.50,0.98,1.02,2.11,7.46
4.40,9.45,0.47,0.00,1.11,0.00,4.40,9.35,0.47,0.47,2.04,4.29,0.48,2.86,5.33,8.19,1.21,0.71,1.68,1.37,2.71,10.83
3.62,8.47,0.43,0.06,1.23,0.05,3.56,8.23,0.43,0.43,1.56,3.32,0.47,1.82,3.67,5.49,0.83,0.50,1.14,1.27,2.21,8.86
4.26,9.30,0.46,0.11,1.30,0.08,4.14,8.98,0.46,0.46,1.65,3.35,0.49,2.06,4.06,6.12,0.83,0.54,1.15,1.14,2.12,10.25
5.29,11.11,0.48,0.18,1.50,0.12,5.10,10.60,0.48,0.48,1.89,3.73,0.51,2.29,5.06,7.35,1.13,0.58,1.24,1.27,2.45,12.65
4.63,10.65,0.43,0.58,2.54,0.23,4.05,9.09,0.45,0.46,2.06,3.44,0.60,0.88,1.93,2.81,3.71,0.99,0.29,1.83,2.32,11.90
4.55,10.71,0.43,0.53,2.54,0.21,4.03,9.16,0.44,0.45,1.94,3.33,0.58,0.84,2.04,2.87,4.34,1.11,0.22,1.98,2.42,11.60
4.51,10.68,0.42,0.81,3.01,0.27,3.74,8.63,0.43,0.46,2.18,3.47,0.63,0.59,2.07,2.65,4.64,1.04,0.21,1.95,2.31,12.07
6.77,15.47,0.44,0.42,2.21,0.19,6.36,14.27,0.45,0.45,4.63,7.04,0.66,2.88,6.55,9.43,2.24,0.88,1.25,2.13,2.68,18.61
6.94,15.47,0.45,0.26,2.10,0.12,6.64,14.37,0.46,0.46,5.09,7.55,0.67,2.76,7.10,9.86,2.30,0.97,1.25,2.40,2.74,19.17
7.12,15.62,0.46,0.42,2.20,0.19,6.73,14.44,0.47,0.47,5.10,7.57,0.67,2.66,6.86,9.52,2.92,0.86,1.20,2.34,2.77,19.83
5.64,14.04,0.40,1.31,4.60,0.28,4.34,10.42,0.42,0.45,2.65,4.35,0.61,0.64,2.62,3.26,4.66,1.37,0.24,2.22,2.07,15.26
5.72,14.34,0.40,1.42,5.05,0.28,4.29,10.28,0.42,0.45,2.66,4.30,0.62,0.71,2.59,3.30,4.72,1.26,0.27,2.28,2.16,15.50
5.62,14.11,0.40,1.34,4.76,0.28,4.29,10.36,0.41,0.45,2.74,4.45,0.62,0.67,2.55,3.22,4.64,1.16,0.27,2.22,2.02,15.34
5.89,13.67,0.43,0.36,2.07,0.17,5.52,12.62,0.44,0.44,3.47,5.67,0.61,2.19,5.01,7.20,1.83,0.73,1.36,1.81,2.60,15.58
6.58,14.18,0.46,0.45,2.22,0.20,6.14,12.96,0.47,0.48,3.98,6.08,0.66,2.28,5.68,7.97,1.95,0.91,1.54,2.24,2.97,17.61
